"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Cases","08/20/2022","30-49","236.3","110.7","187.1","2.1","1.3",,,,,,"125,684","277,226","344,772","297","307","645","30","49"
"Cases","07/31/2021","12-17","115.8","12.4",,"9.3",,,,,,,"94,143","64,465",,"109","8",,"12","17"
"Deaths","08/07/2021","50-64","3.1","0.0",,,,,,,,,"96,770","316,026",,"3","0",,"50","64"
"Cases","01/08/2022","18-29","2,593.8","1,568.9","1,486.1","1.7","1.7",,,,,,"128,651","256,042","83,774","3,337","4,017","1,245","18","29"
"Hospitalizations","09/23/2023","18-29","5.5","0.5","0.6","11.0","9.2",,,,,,"72,891","214,123","161,728","4","1","1","18","29"
"Deaths","02/11/2023","50-64","0.0","0.0","0.4",,"0.0",,,,,,"34,058","125,536","246,859","0","0","1","50","64"
"Hospitalizations","09/02/2023","50-64","18.6","3.2","3.2","5.8","5.8",,,,,,"32,314","125,722","246,940","6","4","8","50","64"
"Cases","11/13/2021","5-11","230.0",,,,,,,,,,"180,456",,,"415",,,"5","11"
"Hospitalizations","02/26/2022","80+","18.4","47.2","7.1","0.4","2.6",,,,,,"27,200","14,818","42,125","5","7","3","80","200"
"Cases","09/03/2022","0-4","115.0","1.8",,"63.9",,,,,,,"162,642",,,"187","3",,"0","4"
"Hospitalizations","03/19/2022","80+","11.1","28.2","9.3","0.4","1.2",,,,,,"27,097","14,172","42,943","3","4","4","80","200"
"Cases","04/29/2023","5-11","47.3","38.7","98.9","1.2","0.5",,,,,,"90,894","82,652","21,236","43","32","21","5","11"
"Hospitalizations","03/19/2022","5-11","0.0","1.1",,"0.0",,,,,,,"104,261","88,478",,"0","1",,"5","11"
"Cases","01/14/2023","65-79","205.2","124.5","142.7","1.6","1.4",,,,,,"40,444","43,375","171,679","83","54","245","65","79"
"Hospitalizations","02/19/2022","18-29","3.9","1.4","0.8","2.8","4.9",,,,,,"103,609","221,200","133,301","4","3","1","18","29"
"Cases","10/08/2022","0-4","45.5","7.4",,"6.1",,,,,,,"162,642",,,"74","12",,"0","4"
"Cases","11/06/2021","All","183.3","73.4","24.9","2.5","7.4","205.8","60.6","21.5","3.4","9.6","953,486","1,465,628","120,427","1,748","1,076","30","999","999"
"Cases","11/19/2022","30-49","186.3","82.7","104.0","2.3","1.8",,,,,,"115,941","276,754","347,089","216","229","361","30","49"
"Hospitalizations","04/10/2021","30-49","17.6","1.6",,"11.0",,,,,,,"455,598","123,661",,"80","2",,"30","49"
"Cases","08/05/2023","0-4","24.6","2.5",,"9.8",,,,,,,"162,642",,,"40","4",,"0","4"
"Cases","06/11/2022","50-64","423.6","155.6","238.1","2.7","1.8",,,,,,"42,493","131,079","238,179","180","204","567","50","64"
"Deaths","09/25/2021","All","2.6","0.3",,"8.7",,"3.8","0.3",,"14.5",,"1,021,435","1,498,444",,"27","5",,"999","999"
"Deaths","12/18/2021","50-64","26.4","1.2","0.0","22.0",,,,,,,"60,515","241,221","110,556","16","3","0","50","64"
"Deaths","07/08/2023","50-64","0.0","0.0","0.0",,,,,,,,"32,640","125,730","246,931","0","0","0","50","64"
"Cases","05/13/2023","12-17","61.3","20.8","15.7","2.9","3.9",,,,,,"32,614","86,583","44,576","20","18","7","12","17"
"Deaths","06/11/2022","50-64","0.0","0.0","0.0",,,,,,,,"42,493","131,079","238,179","0","0","0","50","64"
"Deaths","11/11/2023","12-17","0.0","0.0","0.0",,,,,,,,"31,541","86,509","44,696","0","0","0","12","17"
"Hospitalizations","04/01/2023","0-4","1.8","0.6",,"3.0",,,,,,,"162,642",,,"3","1",,"0","4"
"Hospitalizations","04/02/2022","All","2.7","1.6","1.3","1.7","2.1","3.3","1.8","0.9","1.8","3.5","657,870","901,409","932,489","18","14","12","999","999"
"Deaths","12/10/2022","80+","8.0","0.0","2.1",,"3.8",,,,,,"24,925","11,373","47,104","2","0","1","80","200"
"Deaths","08/27/2022","18-29","0.0","0.5","0.0","0.0",,,,,,,"91,147","211,921","160,373","0","1","0","18","29"
"Hospitalizations","09/24/2022","0-4","2.5","0.0",,,,,,,,,"162,642",,,"4","0",,"0","4"
"Deaths","05/28/2022","65-79","2.1","0.0","0.0",,,,,,,,"47,077","47,959","164,773","1","0","0","65","79"
"Hospitalizations","10/21/2023","12-17","0.0","2.3","0.0","0.0",,,,,,,"31,619","86,566","44,615","0","2","0","12","17"
"Deaths","09/25/2021","50-64","7.4","0.3",,"24.7",,,,,,,"80,946","328,443",,"6","1",,"50","64"
"Deaths","04/15/2023","30-49","0.0","0.0","0.0",,,,,,,,"109,559","278,257","347,286","0","0","0","30","49"
"Hospitalizations","03/25/2023","12-17","0.0","1.2","2.2","0.0","0.0",,,,,,"32,972","86,480","44,563","0","1","1","12","17"
"Cases","08/06/2022","30-49","312.0","163.2","238.8","1.9","1.3",,,,,,"126,294","278,159","343,405","394","454","820","30","49"
"Cases","11/11/2023","18-29","79.9","20.4","16.0","3.9","5.0",,,,,,"68,798","215,294","162,511","55","44","26","18","29"
"Deaths","04/24/2021","18-29","0.3","0.0",,,,,,,,,"301,150","85,550",,"1","0",,"18","29"
"Deaths","11/12/2022","50-64","0.0","0.8","0.0","0.0",,,,,,,"36,564","125,287","246,697","0","1","0","50","64"
"Cases","07/22/2023","12-17","15.6","2.3","2.2","6.8","7.1",,,,,,"32,134","86,577","44,590","5","2","1","12","17"
"Hospitalizations","03/19/2022","50-64","10.9","2.8","0.4","3.9","27.3",,,,,,"45,704","140,906","224,298","5","4","1","50","64"
"Cases","04/17/2021","65-79","125.0","20.9",,"6.0",,,,,,,"94,416","124,678",,"118","26",,"65","79"
"Cases","06/26/2021","12-17","11.7","0.0",,,,,,,,,"111,069","39,779",,"13","0",,"12","17"
"Hospitalizations","04/16/2022","5-11","0.0","0.0",,,,,,,,,"102,695","92,456",,"0","0",,"5","11"
"Cases","01/01/2022","80+","1,063.3","1,662.4","638.4","0.6","1.7",,,,,,"27,932","20,693","35,560","297","344","227","80","200"
"Deaths","01/28/2023","30-49","0.0","0.0","0.0",,,,,,,,"111,793","277,548","347,231","0","0","0","30","49"
