"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Deaths","04/02/2022","All","0.0","0.2","0.0","0.0",,"0.0","0.3","0.0","0.0",,"657,870","901,409","932,489","0","2","0","999","999"
"Cases","05/28/2022","30-49","351.7","194.8","397.2","1.8","0.9",,,,,,"129,368","283,855","335,115","455","553","1,331","30","49"
"Hospitalizations","08/13/2022","5-11","1.0","1.2","0.0","0.8",,,,,,,"96,738","85,405","12,921","1","1","0","5","11"
"Deaths","11/11/2023","65-79","2.7","0.0","0.0",,,,,,,,"37,622","44,141","172,402","1","0","0","65","79"
"Cases","12/03/2022","50-64","481.0","155.6","189.7","3.1","2.5",,,,,,"35,761","125,353","246,742","172","195","468","50","64"
"Deaths","04/30/2022","18-29","0.0","0.0","0.0",,,,,,,,"96,979","218,010","150,062","0","0","0","18","29"
"Deaths","10/15/2022","12-17","0.0","0.0","0.0",,,,,,,,"34,672","85,875","44,459","0","0","0","12","17"
"Cases","08/07/2021","65-79","102.2","42.0",,"2.4",,,,,,,"68,485","192,863",,"70","81",,"65","79"
"Hospitalizations","05/29/2021","18-29","6.9","0.0",,,,,,,,,"246,752","207,387",,"17","0",,"18","29"
"Hospitalizations","10/22/2022","80+","27.5","52.8","42.5","0.5","0.6",,,,,,"25,467","11,367","47,073","7","6","20","80","200"
"Deaths","03/19/2022","30-49","0.0","0.0","0.0",,,,,,,,"133,820","292,802","320,838","0","0","0","30","49"
"Deaths","10/02/2021","18-29","0.0","0.0",,,,,,,,,"175,617","307,962",,"0","0",,"18","29"
"Hospitalizations","07/23/2022","All","15.0","9.2","10.4","1.6","1.4","18.8","12.6","7.3","1.5","2.6","620,290","856,799","1,004,817","93","79","105","999","999"
"Hospitalizations","10/07/2023","65-79","20.7","9.2","11.1","2.3","1.9",,,,,,"38,643","43,457","171,823","8","4","19","65","79"
"Hospitalizations","03/05/2022","All","4.2","2.9","1.4","1.4","3.0","4.9","3.3","1.0","1.5","4.9","668,131","908,622","900,419","28","26","13","999","999"
"Deaths","06/18/2022","18-29","0.0","0.0","0.0",,,,,,,,"94,340","215,224","154,755","0","0","0","18","29"
"Cases","09/09/2023","5-11","19.0","10.9","9.4","1.7","2.0",,,,,,"89,422","82,670","21,265","17","9","2","5","11"
"Deaths","07/03/2021","30-49","1.1","0.0",,,,,,,,,"284,806","473,790",,"3","0",,"30","49"
"Deaths","06/25/2022","50-64","0.0","0.0","0.4",,"0.0",,,,,,"42,094","130,098","239,606","0","0","1","50","64"
"Deaths","10/08/2022","5-11","0.0","0.0","0.0",,,,,,,,"94,508","81,111","19,812","0","0","0","5","11"
"Deaths","08/05/2023","12-17","0.0","0.0","0.0",,,,,,,,"32,022","86,577","44,592","0","0","0","12","17"
"Hospitalizations","03/05/2022","12-17","0.0","1.0","0.0","0.0",,,,,,,"39,213","95,932","27,517","0","1","0","12","17"
"Cases","07/30/2022","5-11","149.4","127.7","92.3","1.2","1.6",,,,,,"97,719","86,946","10,832","146","111","10","5","11"
"Hospitalizations","04/01/2023","18-29","5.3","0.9","2.5","5.9","2.1",,,,,,"76,086","213,847","161,677","4","2","4","18","29"
"Hospitalizations","07/30/2022","All","14.1","7.1","10.4","2.0","1.4","18.4","9.5","7.3","1.9","2.5","617,241","853,308","1,009,629","87","61","105","999","999"
"Cases","04/03/2021","50-64","224.4","22.6",,"9.9",,,,,,,"234,356","66,383",,"526","15",,"50","64"
"Deaths","09/17/2022","80+","3.8","0.0","4.3",,"0.9",,,,,,"26,096","11,381","47,028","1","0","2","80","200"
"Hospitalizations","01/14/2023","All","13.2","6.1","10.2","2.2","1.3","17.8","8.7","7.0","2.0","2.6","552,001","854,759","1,040,217","73","52","106","999","999"
"Hospitalizations","02/11/2023","65-79","27.4","27.7","19.8","1.0","1.4",,,,,,"40,183","43,393","171,693","11","12","34","65","79"
"Deaths","07/17/2021","All","0.5","0.0",,,,"0.8","0.0",,,,"1,181,533","1,367,281",,"6","0",,"999","999"
"Deaths","01/15/2022","18-29","0.0","0.4","0.0","0.0",,,,,,,"121,679","248,007","93,335","0","1","0","18","29"
"Deaths","04/02/2022","50-64","0.0","0.7","0.0","0.0",,,,,,,"45,178","138,856","227,154","0","1","0","50","64"
"Cases","09/25/2021","65-79","107.5","48.6",,"2.2",,,,,,,"63,251","193,577",,"68","94",,"65","79"
"Deaths","05/20/2023","18-29","0.0","0.0","0.0",,,,,,,,"75,004","214,136","161,691","0","0","0","18","29"
"Deaths","07/09/2022","30-49","0.0","0.0","0.0",,,,,,,,"127,602","280,376","340,282","0","0","0","30","49"
"Cases","03/04/2023","18-29","136.7","43.5","60.0","3.1","2.3",,,,,,"76,784","213,571","161,659","105","93","97","18","29"
"Cases","07/01/2023","30-49","13.9","6.8","8.3","2.0","1.7",,,,,,"107,930","278,403","347,308","15","19","29","30","49"
"Deaths","10/14/2023","65-79","0.0","0.0","0.6",,"0.0",,,,,,"38,416","43,494","171,905","0","0","1","65","79"
"Cases","05/27/2023","50-64","36.5","15.1","19.4","2.4","1.9",,,,,,"32,906","125,743","246,912","12","19","48","50","64"
"Cases","02/05/2022","12-17","234.8","143.6","87.9","1.6","2.7",,,,,,"42,597","97,526","18,212","100","140","16","12","17"
"Hospitalizations","10/28/2023","All","4.1","1.4","3.7","2.9","1.1","4.9","2.5","2.5","2.0","2.0","514,722","862,266","1,043,533","21","12","39","999","999"
"Hospitalizations","07/17/2021","50-64","7.6","0.6",,"12.7",,,,,,,"105,017","308,063",,"8","2",,"50","64"
"Hospitalizations","06/18/2022","50-64","37.8","5.4","6.3","7.0","6.0",,,,,,"42,287","130,631","238,855","16","7","15","50","64"
"Cases","02/19/2022","30-49","111.7","50.8","82.0","2.2","1.4",,,,,,"137,833","299,049","303,628","154","152","249","30","49"
"Deaths","02/18/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","11/04/2023","80+","37.4","77.9","95.2","0.5","0.4",,,,,,"24,080","11,553","47,261","9","9","45","80","200"
"Deaths","10/28/2023","80+","4.1","17.4","0.0","0.2",,,,,,,"24,124","11,521","47,222","1","2","0","80","200"
"Hospitalizations","10/28/2023","80+","16.6","34.7","21.2","0.5","0.8",,,,,,"24,124","11,521","47,222","4","4","10","80","200"
"Deaths","09/11/2021","50-64","10.6","0.3",,"35.3",,,,,,,"84,837","325,536",,"9","1",,"50","64"
"Hospitalizations","01/22/2022","18-29","31.0","6.3","1.9","4.9","16.3",,,,,,"116,024","239,720","103,823","36","15","2","18","29"
"Deaths","10/28/2023","65-79","0.0","0.0","0.6",,"0.0",,,,,,"37,995","43,884","172,161","0","0","1","65","79"
"Hospitalizations","07/08/2023","0-4","1.2","0.0",,,,,,,,,"162,642",,,"2","0",,"0","4"
"Hospitalizations","11/12/2022","All","15.4","4.5","9.0","3.4","1.7","19.1","6.8","6.2","2.8","3.1","570,386","848,167","1,039,564","88","38","94","999","999"
"Deaths","08/19/2023","50-64","0.0","0.0","0.0",,,,,,,,"32,398","125,726","246,936","0","0","0","50","64"
"Deaths","09/23/2023","18-29","0.0","0.0","0.0",,,,,,,,"72,891","214,123","161,728","0","0","0","18","29"
"Deaths","10/15/2022","All","1.0","0.0","0.1",,"10.0","1.0","0.0","0.1",,"17.3","584,290","844,343","1,038,311","6","0","1","999","999"
"Deaths","06/05/2021","18-29","0.0","0.0",,,,,,,,,"241,512","225,206",,"0","0",,"18","29"
"Hospitalizations","01/07/2023","All","18.1","6.4","12.7","2.8","1.4","22.7","10.5","8.5","2.2","2.7","553,739","854,331","1,040,190","100","55","132","999","999"
"Hospitalizations","09/11/2021","12-17","6.8","0.0",,,,,,,,,"73,661","83,778",,"5","0",,"12","17"
"Hospitalizations","12/11/2021","5-11","2.0","0.0",,,,,,,,,"151,855","2,846",,"3","0",,"5","11"
"Cases","12/24/2022","5-11","166.4","116.7","175.0","1.4","1.0",,,,,,"92,531","81,440","21,142","154","95","37","5","11"
"Deaths","01/08/2022","65-79","73.6","28.5","3.0","2.6","24.5",,,,,,"51,599","73,634","133,598","38","21","4","65","79"
"Cases","04/29/2023","80+","28.5","43.9","74.3","0.6","0.4",,,,,,"24,593","11,384","47,127","7","5","35","80","200"
"Cases","03/12/2022","0-4","35.7",,,,,,,,,,"162,642",,,"58",,,"0","4"
"Cases","07/10/2021","65-79","13.9","6.3",,"2.2",,,,,,,"71,806","189,097",,"10","12",,"65","79"
"Hospitalizations","03/12/2022","80+","14.7","13.9","11.7","1.1","1.3",,,,,,"27,140","14,363","42,701","4","2","5","80","200"
"Cases","05/07/2022","50-64","308.0","134.5","265.4","2.3","1.2",,,,,,"43,830","134,524","233,206","135","181","619","50","64"
"Deaths","12/11/2021","12-17","0.0","0.0","0.0",,,,,,,,"57,433","105,995","469","0","0","0","12","17"
"Deaths","06/18/2022","12-17","0.0","0.0","0.0",,,,,,,,"36,709","92,398","36,325","0","0","0","12","17"
"Hospitalizations","05/20/2023","30-49","3.7","0.4","0.3","9.3","12.3",,,,,,"108,712","278,401","347,297","4","1","1","30","49"
"Hospitalizations","05/13/2023","50-64","3.0","3.2","3.6","0.9","0.8",,,,,,"33,018","125,743","246,910","1","4","9","50","64"
"Cases","04/01/2023","12-17","75.9","41.6","51.6","1.8","1.5",,,,,,"32,922","86,490","44,568","25","36","23","12","17"
"Cases","10/22/2022","0-4","58.4","6.1",,"9.6",,,,,,,"162,642",,,"95","10",,"0","4"
"Hospitalizations","10/22/2022","30-49","8.4","2.5","3.2","3.4","2.6",,,,,,"119,057","276,343","347,017","10","7","11","30","49"
"Deaths","03/18/2023","50-64","0.0","0.8","0.0","0.0",,,,,,,"33,625","125,634","246,883","0","1","0","50","64"
"Cases","08/21/2021","65-79","134.9","54.6",,"2.5",,,,,,,"66,724","194,251",,"90","106",,"65","79"
"Hospitalizations","06/11/2022","12-17","2.7","1.1","2.8","2.5","1.0",,,,,,"36,826","92,726","35,890","1","1","1","12","17"
"Cases","04/10/2021","18-29","336.3","45.8",,"7.3",,,,,,,"353,270","54,598",,"1,188","25",,"18","29"
"Deaths","08/13/2022","12-17","0.0","0.0","0.0",,,,,,,,"35,638","88,571","41,021","0","0","0","12","17"
"Cases","12/25/2021","5-11","845.2","495.4",,"1.7",,,,,,,"143,394","37,144",,"1,212","184",,"5","11"
"Deaths","08/19/2023","5-11","0.0","0.0","0.0",,,,,,,,"89,655","82,672","21,262","0","0","0","5","11"
"Cases","10/15/2022","30-49","137.5","52.5","81.0","2.6","1.7",,,,,,"119,967","276,252","346,982","165","145","281","30","49"
"Hospitalizations","10/07/2023","50-64","6.3","1.6","2.8","3.9","2.3",,,,,,"31,672","125,732","247,019","2","2","7","50","64"
"Hospitalizations","10/15/2022","0-4","4.9","0.0",,,,,,,,,"162,642",,,"8","0",,"0","4"
"Deaths","12/25/2021","12-17","0.0","0.0","0.0",,,,,,,,"55,052","108,573","799","0","0","0","12","17"
"Deaths","03/05/2022","12-17","0.0","0.0","0.0",,,,,,,,"39,213","95,932","27,517","0","0","0","12","17"
"Cases","05/22/2021","18-29","138.4","9.3",,"14.9",,,,,,,"254,347","182,708",,"352","17",,"18","29"
"Cases","07/24/2021","18-29","116.2","41.7",,"2.8",,,,,,,"215,115","275,913",,"250","115",,"18","29"
"Hospitalizations","10/28/2023","12-17","0.0","1.2","0.0","0.0",,,,,,,"31,598","86,545","44,641","0","1","0","12","17"
"Cases","09/10/2022","5-11","117.5","124.2","118.7","0.9","1.0",,,,,,"95,349","82,126","17,689","112","102","21","5","11"
"Hospitalizations","03/11/2023","All","9.0","3.7","7.2","2.4","1.3","12.7","5.4","4.9","2.3","2.6","543,537","858,035","1,040,472","49","32","75","999","999"
"Deaths","01/21/2023","5-11","0.0","0.0","0.0",,,,,,,,"92,044","81,778","21,171","0","0","0","5","11"
"Deaths","09/03/2022","50-64","0.0","0.8","0.4","0.0","0.0",,,,,,"40,251","125,600","245,831","0","1","1","50","64"
"Cases","07/23/2022","50-64","547.6","196.2","278.9","2.8","2.0",,,,,,"41,269","128,418","242,018","226","252","675","50","64"
"Deaths","06/25/2022","18-29","0.0","0.0","0.0",,,,,,,,"94,060","214,919","155,323","0","0","0","18","29"
"Cases","06/10/2023","50-64","36.6","6.4","13.4","5.7","2.7",,,,,,"32,808","125,744","246,916","12","8","33","50","64"
"Cases","05/21/2022","0-4","220.7",,,,,,,,,,"162,642",,,"359",,,"0","4"
"Deaths","05/20/2023","12-17","0.0","0.0","0.0",,,,,,,,"32,543","86,583","44,578","0","0","0","12","17"
"Hospitalizations","07/24/2021","All","6.3","1.1",,"5.7",,"8.3","0.8",,"9.7",,"1,165,954","1,383,641",,"73","15",,"999","999"
"Deaths","03/04/2023","12-17","0.0","0.0","0.0",,,,,,,,"33,129","86,403","44,558","0","0","0","12","17"
"Deaths","09/17/2022","All","0.3","0.0","0.3",,"1.0","0.5","0.0","0.2",,"2.5","599,179","840,837","1,035,714","2","0","3","999","999"
"Cases","08/19/2023","65-79","53.6","50.7","61.7","1.1","0.9",,,,,,"39,214","43,417","171,752","21","22","106","65","79"
"Deaths","07/24/2021","All","0.7","0.0",,,,"1.1","0.0",,,,"1,165,954","1,383,641",,"8","0",,"999","999"
"Hospitalizations","10/28/2023","50-64","13.0","2.4","3.2","5.4","4.1",,,,,,"30,857","125,795","247,425","4","3","8","50","64"
"Cases","07/09/2022","80+","117.3","248.2","219.4","0.5","0.5",,,,,,"26,425","12,088","46,042","31","30","101","80","200"
"Deaths","09/10/2022","80+","15.3","8.8","2.1","1.7","7.3",,,,,,"26,174","11,409","46,990","4","1","1","80","200"
"Cases","05/08/2021","65-79","118.8","13.1",,"9.1",,,,,,,"84,155","160,587",,"100","21",,"65","79"
"Hospitalizations","11/26/2022","50-64","30.5","5.6","8.5","5.4","3.6",,,,,,"36,067","125,335","246,724","11","7","21","50","64"
"Cases","12/18/2021","65-79","405.7","300.5","112.7","1.4","3.6",,,,,,"53,484","94,857","110,903","217","285","125","65","79"
"Hospitalizations","11/06/2021","18-29","8.6","0.6","0.0","14.3",,,,,,,"162,718","313,731","10,229","14","2","0","18","29"
"Cases","02/12/2022","All","160.8","85.1","96.5","1.9","1.7","172.0","84.9","80.3","2.0","2.1","684,647","914,673","848,563","1,101","778","819","999","999"
"Deaths","10/01/2022","50-64","0.0","0.0","0.0",,,,,,,,"39,014","125,154","246,575","0","0","0","50","64"
"Deaths","03/04/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","01/08/2022","80+","546.5","549.0","102.6","1.0","5.3",,,,,,"27,814","19,309","37,045","152","106","38","80","200"
"Cases","06/17/2023","All","12.9","5.5","10.8","2.3","1.2","12.8","6.0","9.2","2.1","1.4","533,523","860,344","1,040,706","69","47","112","999","999"
"Cases","05/15/2021","All","125.4","12.3",,"10.2",,"136.5","9.2",,"14.9",,"1,387,913","925,369",,"1,740","114",,"999","999"
"Hospitalizations","07/02/2022","0-4","5.5",,,,,,,,,,"162,642",,,"9",,,"0","4"
"Deaths","06/10/2023","80+","0.0","0.0","0.0",,,,,,,,"24,522","11,383","47,130","0","0","0","80","200"
"Cases","05/21/2022","30-49","339.9","193.9","443.1","1.8","0.8",,,,,,"129,750","284,685","334,000","441","552","1,480","30","49"
"Cases","09/18/2021","0-4","75.0",,,,,,,,,,"162,642",,,"122",,,"0","4"
"Deaths","09/02/2023","12-17","0.0","0.0","0.0",,,,,,,,"31,774","86,575","44,595","0","0","0","12","17"
"Hospitalizations","04/24/2021","18-29","9.3","1.2",,"7.8",,,,,,,"301,150","85,550",,"28","1",,"18","29"
"Deaths","01/29/2022","12-17","0.0","0.0","0.0",,,,,,,,"44,003","100,652","13,613","0","0","0","12","17"
"Deaths","09/04/2021","All","2.5","0.5",,"5.0",,"3.5","0.4",,"9.8",,"1,059,836","1,462,025",,"27","7",,"999","999"
"Hospitalizations","10/21/2023","50-64","9.6","4.0","4.0","2.4","2.4",,,,,,"31,095","125,782","247,254","3","5","10","50","64"
"Hospitalizations","11/13/2021","12-17","6.5","0.0",,,,,,,,,"61,336","102,949",,"4","0",,"12","17"
"Hospitalizations","03/18/2023","All","5.3","2.6","5.1","2.0","1.0","7.0","3.6","3.5","2.0","2.0","542,688","858,373","1,040,492","29","22","53","999","999"
"Hospitalizations","07/23/2022","12-17","0.0","2.2","0.0","0.0",,,,,,,"36,073","90,284","39,015","0","2","0","12","17"
"Hospitalizations","09/25/2021","50-64","37.1","2.4",,"15.5",,,,,,,"80,946","328,443",,"30","8",,"50","64"
"Cases","01/21/2023","80+","92.9","123.1","144.3","0.8","0.6",,,,,,"24,751","11,374","47,117","23","14","68","80","200"
"Cases","03/11/2023","18-29","121.4","38.4","51.3","3.2","2.4",,,,,,"76,587","213,618","161,667","93","82","83","18","29"
"Hospitalizations","03/25/2023","18-29","2.6","0.9","1.2","2.9","2.2",,,,,,"76,243","213,785","161,673","2","2","2","18","29"
"Deaths","08/19/2023","All","0.0","0.1","0.2","0.0","0.0","0.0","0.3","0.1","0.0","0.0","528,293","860,304","1,040,794","0","1","2","999","999"
"Hospitalizations","11/20/2021","50-64","69.6","5.7","0.0","12.2",,,,,,,"67,514","297,169","49,704","47","17","0","50","64"
"Deaths","04/17/2021","12-17","0.0",,,,,,,,,,"175,134",,,"0",,,"12","17"
"Deaths","10/22/2022","50-64","0.0","0.8","0.0","0.0",,,,,,,"37,697","125,220","246,635","0","1","0","50","64"
"Deaths","03/26/2022","50-64","2.2","0.0","0.0",,,,,,,,"45,447","140,025","225,645","1","0","0","50","64"
"Deaths","03/25/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","02/19/2022","5-11","0.0","0.0",,,,,,,,,"107,897","74,396",,"0","0",,"5","11"
"Deaths","01/15/2022","80+","119.2","158.4","26.2","0.8","4.5",,,,,,"27,679","18,306","38,129","33","29","10","80","200"
"Deaths","04/01/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","05/29/2021","30-49","1.3","0.0",,,,,,,,,"314,424","398,788",,"4","0",,"30","49"
"Cases","12/02/2023","30-49","118.6","42.6","53.2","2.8","2.2",,,,,,"99,511","279,418","349,413","118","119","186","30","49"
"Hospitalizations","06/24/2023","5-11","0.0","0.0","0.0",,,,,,,,"90,346","82,675","21,251","0","0","0","5","11"
"Hospitalizations","01/14/2023","50-64","37.7","10.4","7.7","3.6","4.9",,,,,,"34,510","125,451","246,827","13","13","19","50","64"
"Hospitalizations","12/17/2022","30-49","14.9","3.6","4.0","4.1","3.7",,,,,,"113,869","277,097","347,151","17","10","14","30","49"
"Cases","07/01/2023","65-79","25.4","2.3","14.0","11.0","1.8",,,,,,"39,376","43,427","171,741","10","1","24","65","79"
"Deaths","01/14/2023","0-4","0.6","0.0",,,,,,,,,"162,642",,,"1","0",,"0","4"
"Deaths","02/12/2022","50-64","6.3","3.9","1.0","1.6","6.3",,,,,,"47,848","152,527","208,125","3","6","2","50","64"
"Cases","10/09/2021","30-49","185.9","61.4",,"3.0",,,,,,,"214,640","537,114",,"399","330",,"30","49"
"Hospitalizations","11/04/2023","0-4","1.8","0.0",,,,,,,,,"162,642",,,"3","0",,"0","4"
"Hospitalizations","09/23/2023","65-79","30.7","16.1","10.5","1.9","2.9",,,,,,"39,028","43,414","171,758","12","7","18","65","79"
"Cases","11/11/2023","30-49","73.3","30.1","42.4","2.4","1.7",,,,,,"100,910","279,296","348,677","74","84","148","30","49"
"Hospitalizations","10/30/2021","12-17","1.6","0.0",,,,,,,,,"64,181","100,542",,"1","0",,"12","17"
"Cases","09/30/2023","12-17","37.9","6.9","24.7","5.5","1.5",,,,,,"31,687","86,573","44,598","12","6","11","12","17"
"Cases","04/15/2023","0-4","35.7","3.1",,"11.5",,,,,,,"162,642",,,"58","5",,"0","4"
"Cases","01/08/2022","0-4","1,359.4",,,,,,,,,,"162,642",,,"2,211",,,"0","4"
"Cases","04/15/2023","80+","77.2","96.6","129.4","0.8","0.6",,,,,,"24,612","11,385","47,126","19","11","61","80","200"
"Hospitalizations","02/04/2023","65-79","22.4","20.7","12.8","1.1","1.8",,,,,,"40,248","43,385","171,692","9","9","22","65","79"
"Hospitalizations","08/28/2021","5-11","0.5",,,,,,,,,,"210,448",,,"1",,,"5","11"
"Cases","10/21/2023","All","44.5","20.2","35.0","2.2","1.3","52.9","21.3","29.3","2.5","1.8","517,086","861,860","1,042,471","230","174","365","999","999"
"Hospitalizations","05/20/2023","12-17","0.0","0.0","0.0",,,,,,,,"32,543","86,583","44,578","0","0","0","12","17"
"Deaths","11/20/2021","80+","13.8","19.0","5.4","0.7","2.6",,,,,,"29,022","36,868","18,401","4","7","1","80","200"
"Cases","04/10/2021","5-11","149.2",,,,,,,,,,"210,448",,,"314",,,"5","11"
"Hospitalizations","10/30/2021","65-79","27.1","8.3","0.0","3.3",,,,,,,"59,028","168,312","32,952","16","14","0","65","79"
"Cases","02/04/2023","50-64","207.8","62.9","83.5","3.3","2.5",,,,,,"34,169","125,516","246,849","71","79","206","50","64"
"Deaths","04/30/2022","80+","3.7","7.5","0.0","0.5",,,,,,,"26,860","13,328","44,158","1","1","0","80","200"
"Deaths","07/01/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","09/24/2022","50-64","0.0","0.0","0.0",,,,,,,,"39,417","125,139","246,539","0","0","0","50","64"
"Hospitalizations","01/15/2022","12-17","16.6","1.9","0.0","8.7",,,,,,,"48,295","106,637","5,029","8","2","0","12","17"
"Hospitalizations","07/29/2023","65-79","5.1","0.0","4.1",,"1.2",,,,,,"39,287","43,420","171,749","2","0","7","65","79"
"Deaths","02/04/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","09/18/2021","80+","38.6","13.2",,"2.9",,,,,,,"31,106","52,895",,"12","7",,"80","200"
"Hospitalizations","10/23/2021","80+","13.3","14.6","0.0","0.9",,,,,,,"30,106","47,937","6,673","4","7","0","80","200"
"Deaths","11/04/2023","5-11","0.0","0.0","0.0",,,,,,,,"88,776","82,330","21,744","0","0","0","5","11"
"Cases","04/23/2022","0-4","127.9",,,,,,,,,,"162,642",,,"208",,,"0","4"
"Hospitalizations","04/15/2023","0-4","1.8","0.0",,,,,,,,,"162,642",,,"3","0",,"0","4"
"Hospitalizations","07/24/2021","80+","15.3","7.7",,"2.0",,,,,,,"32,759","52,117",,"5","4",,"80","200"
"Deaths","10/22/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","04/29/2023","All","3.7","2.1","3.2","1.8","1.2","5.7","3.0","2.3","1.9","2.5","538,163","860,165","1,040,623","20","18","33","999","999"
"Cases","10/16/2021","5-11","109.3",,,,,,,,,,"210,448",,,"230",,,"5","11"
"Deaths","11/05/2022","30-49","0.0","0.4","0.0","0.0",,,,,,,"117,430","276,538","347,053","0","1","0","30","49"
"Hospitalizations","02/18/2023","65-79","17.4","18.4","16.3","0.9","1.1",,,,,,"40,129","43,398","171,695","7","8","28","65","79"
"Hospitalizations","10/01/2022","0-4","3.7","0.0",,,,,,,,,"162,642",,,"6","0",,"0","4"
"Hospitalizations","10/08/2022","0-4","0.6","0.0",,,,,,,,,"162,642",,,"1","0",,"0","4"
"Deaths","09/09/2023","18-29","0.0","0.0","0.0",,,,,,,,"73,215","214,129","161,722","0","0","0","18","29"
"Deaths","02/25/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Deaths","10/23/2021","80+","10.0","6.3","0.0","1.6",,,,,,,"30,106","47,937","6,673","3","3","0","80","200"
"Hospitalizations","06/24/2023","All","1.7","0.1","1.8","17.0","0.9","2.0","0.1","1.1","16.0","1.7","532,973","860,337","1,040,720","9","1","19","999","999"
"Deaths","05/08/2021","80+","35.8","2.3",,"15.6",,,,,,,"36,289","44,240",,"13","1",,"80","200"
"Deaths","05/21/2022","50-64","0.0","0.8","0.0","0.0",,,,,,,"43,239","133,132","235,218","0","1","0","50","64"
"Cases","05/15/2021","80+","58.8","13.1",,"4.5",,,,,,,"35,729","45,820",,"21","6",,"80","200"
"Cases","01/28/2023","0-4","59.0","3.1",,"19.0",,,,,,,"162,642",,,"96","5",,"0","4"
"Deaths","02/11/2023","5-11","0.0","0.0","0.0",,,,,,,,"91,730","82,035","21,195","0","0","0","5","11"
"Deaths","11/26/2022","65-79","0.0","0.0","0.0",,,,,,,,"41,575","43,350","171,612","0","0","0","65","79"
"Cases","09/09/2023","0-4","46.7","2.5",,"18.7",,,,,,,"162,642",,,"76","4",,"0","4"
"Cases","10/08/2022","5-11","96.3","74.0","116.1","1.3","0.8",,,,,,"94,508","81,111","19,812","91","60","23","5","11"
"Hospitalizations","04/17/2021","80+","87.0","11.5",,"7.6",,,,,,,"39,089","34,683",,"34","4",,"80","200"
"Deaths","06/24/2023","5-11","0.0","0.0","0.0",,,,,,,,"90,346","82,675","21,251","0","0","0","5","11"
"Hospitalizations","11/13/2021","0-4","0.0",,,,,,,,,,"162,642",,,"0",,,"0","4"
"Deaths","06/10/2023","18-29","0.0","0.0","0.0",,,,,,,,"74,610","214,134","161,697","0","0","0","18","29"
"Hospitalizations","11/05/2022","0-4","2.5","0.0",,,,,,,,,"162,642",,,"4","0",,"0","4"
"Deaths","07/31/2021","12-17","0.0","0.0",,,,,,,,,"94,143","64,465",,"0","0",,"12","17"
"Hospitalizations","07/30/2022","12-17","5.6","1.1","0.0","5.1",,,,,,,"35,932","89,736","39,673","2","1","0","12","17"
"Cases","12/25/2021","0-4","777.2",,,,,,,,,,"162,642",,,"1,264",,,"0","4"
"Cases","06/04/2022","0-4","192.4",,,,,,,,,,"162,642",,,"313",,,"0","4"
"Cases","05/29/2021","80+","57.5","14.5",,"4.0",,,,,,,"34,769","48,292",,"20","7",,"80","200"
"Cases","07/23/2022","0-4","208.4","0.0",,,,,,,,,"162,642",,,"339","0",,"0","4"
"Deaths","07/30/2022","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Hospitalizations","10/16/2021","80+","16.5","16.0",,"1.0",,,,,,,"30,320","49,996",,"5","8",,"80","200"
"Cases","03/25/2023","0-4","48.0","3.7",,"13.0",,,,,,,"162,642",,,"78","6",,"0","4"
"Hospitalizations","08/26/2023","5-11","0.0","0.0","0.0",,,,,,,,"89,580","82,670","21,264","0","0","0","5","11"
"Hospitalizations","07/31/2021","18-29","9.0","0.7",,"12.9",,,,,,,"210,867","279,504",,"19","2",,"18","29"
"Hospitalizations","08/06/2022","65-79","37.1","38.0","18.3","1.0","2.0",,,,,,"45,860","44,684","169,587","17","17","31","65","79"
"Deaths","06/26/2021","12-17","0.0","0.0",,,,,,,,,"111,069","39,779",,"0","0",,"12","17"
"Cases","11/06/2021","80+","91.4","52.5","18.0","1.7","5.1",,,,,,"29,553","43,800","11,093","27","23","2","80","200"
"Cases","07/10/2021","80+","6.0","1.9",,"3.2",,,,,,,"33,207","51,643",,"2","1",,"80","200"
"Hospitalizations","02/26/2022","12-17","0.0","0.0","0.0",,,,,,,,"39,635","95,673","26,095","0","0","0","12","17"
"Cases","01/21/2023","0-4","60.3","2.5",,"24.1",,,,,,,"162,642",,,"98","4",,"0","4"
"Cases","09/18/2021","50-64","265.8","54.1",,"4.9",,,,,,,"82,757","327,000",,"220","177",,"50","64"
